# global combined recording, 13 samples
t,CoreDAQ_head1_W,CoreDAQ_head2_W,CoreDAQ_head3_W,CoreDAQ_head4_W
0.241,-2.1e-10,-2.3e-10,-1.1e-10,-1.5e-10
0.491,-2.1e-10,-2.3e-10,-1.1e-10,-1.3e-10
0.741,-2.1e-10,-2.3e-10,-1.1e-10,-1.5e-10
0.991,-2.1e-10,-2.3e-10,-1.1e-10,-1.5e-10
1.246,-2.1e-10,-2.2e-10,-1.1e-10,-1.5e-10
1.491,-2.1e-10,-2.3e-10,-1.1e-10,-1.5e-10
1.741,-2.1e-10,-2.3e-10,-1.1e-10,-1.5e-10
1.991,-2.1e-10,-2.3e-10,-1.1e-10,-1.3e-10
2.239,-2.1e-10,-2.3e-10,-1.1e-10,-1.3e-10
2.491,-2.1e-10,-2.3e-10,-1.1e-10,-1.3e-10
2.741,-2.1e-10,-2.3e-10,-1.1e-10,-1.5e-10
2.987,-2.1e-10,-2.3e-10,-1.1e-10,-1.3e-10
3.241,-2.1e-10,-2.3e-10,-1.1e-10,-1.3e-10
